Count,coordinates
266,"[8.179,77.4323]"
7,"[8.1844,77.2547]"
129,"[8.305,77.2191]"
13,"[8.3165,77.1882]"
1,"[8.3706,77.2434]"
2326,"[8.4827,76.9479]"
2,"[8.5645,76.8749]"
2,"[8.6027,77.0014]"
22,"[8.7107,77.4519]"
309,"[8.7274,77.6838]"
79,"[8.7607,76.7937]"
623,"[8.7674,78.1342]"
2450,"[8.8812,76.5855]"
4,"[8.9287,76.9163]"
1,"[9.0202,76.9267]"
2,"[9.1278,76.7995]"
29,"[9.1737,77.8694]"
4,"[9.1817,76.5009]"
2,"[9.199,76.617]"
4690,"[9.2667,76.7833]"
4,"[9.2847,76.451]"
134,"[9.3157,76.6151]"
9,"[9.3568,77.9286]"
6,"[9.3742,78.8308]"
335,"[9.3816,76.5749]"
679,"[9.45,77.798]"
12,"[9.45,77.92]"
684,"[9.49,76.3264]"
1,"[9.5114,77.6404]"
1130,"[9.5869,76.5213]"
19,"[9.6716,76.5725]"
39,"[9.6851,76.3393]"
7,"[9.8364,77.1586]"
8,"[9.8458,78.4891]"
216,"[9.8463,76.9685]"
930,"[9.919,78.1195]"
297,"[9.9201,76.2559]"
4759,"[9.9406,76.2625]"
9,"[9.9587,76.2982]"
7,"[9.9644,78.0695]"
39,"[9.9667,76.2333]"
7799,"[9.967,76.2917]"
11,"[9.9834,76.5717]"
80,"[10.0127,77.4744]"
15,"[10.0164,76.3417]"
1,"[10.0316,78.3433]"
2,"[10.0662,78.7678]"
106,"[10.1069,76.4737]"
55,"[10.1074,76.3476]"
4,"[10.2094,78.9837]"
67,"[10.236,77.4873]"
38,"[10.3449,76.2116]"
21,"[10.369,77.9804]"
4,"[10.3843,78.8209]"
10,"[10.4,76.3]"
55,"[10.4206,76.5003]"
33,"[10.4505,77.5187]"
4844,"[10.516,76.2157]"
9,"[10.5295,79.6303]"
20,"[10.5531,76.1991]"
182,"[10.5593,76.0248]"
13,"[10.6281,76.1103]"
10,"[10.6487,76.0739]"
29,"[10.6583,77.0085]"
1,"[10.7389,77.5322]"
19,"[10.7638,79.8431]"
648,"[10.7732,76.6537]"
230,"[10.7852,79.1391]"
4,"[10.7988,76.1835]"
982,"[10.8048,78.7048]"
1,"[10.8103,77.7849]"
42,"[10.8155,78.6965]"
9,"[10.8793,79.6106]"
6,"[10.9137,75.9212]"
1,"[10.9167,79.8333]"
295,"[10.9577,78.081]"
1,"[10.9621,79.3912]"
7,"[10.9919,77.2827]"
16,"[11.0009,76.0062]"
21812,"[11.0075,76.9671]"
1,"[11.0094,76.3474]"
17,"[11.0348,76.9948]"
168,"[11.0372,76.0795]"
14,"[11.0395,76.1636]"
39,"[11.0451,75.9217]"
38,"[11.0948,76.2285]"
19,"[11.1063,79.655]"
232,"[11.1076,77.3564]"
56,"[11.12,76.1247]"
2,"[11.129,76.0856]"
10,"[11.1355,79.0784]"
28,"[11.1442,75.9646]"
1,"[11.1799,75.8414]"
72,"[11.2203,78.1663]"
1634,"[11.2471,75.7799]"
608,"[11.2702,76.2289]"
1,"[11.2708,75.7764]"
1,"[11.2725,77.5857]"
1,"[11.3032,79.5724]"
209,"[11.3428,77.7274]"
52,"[11.3503,76.7858]"
168,"[11.3823,77.8966]"
2,"[11.3963,79.7331]"
19,"[11.3978,79.6894]"
232,"[11.4,76.7]"
76,"[11.4134,76.6952]"
1,"[11.4381,75.7032]"
4,"[11.455,77.4768]"
64,"[11.4566,77.4387]"
5,"[11.4885,75.6505]"
22,"[11.5023,77.2361]"
24,"[11.5179,79.3216]"
10,"[11.5276,75.6554]"
13,"[11.5965,78.5936]"
80,"[11.6032,76.0793]"
605,"[11.6088,79.4994]"
6,"[11.619,76.2102]"
1589,"[11.6538,78.1554]"
464,"[11.6661,92.7464]"
3,"[11.6978,77.873]"
18,"[11.7219,76.3123]"
9,"[11.7406,75.5807]"
2,"[11.7413,76.0736]"
46,"[11.743,75.4896]"
139,"[11.7541,79.7663]"
1997,"[11.8667,75.3498]"
648,"[11.9332,79.8337]"
14,"[11.9398,79.4924]"
2,"[12.0446,75.357]"
37,"[12.0935,75.2025]"
1,"[12.1141,76.6848]"
33,"[12.123,78.1624]"
3,"[12.1588,78.1636]"
4,"[12.1796,75.9296]"
4,"[12.1974,79.519]"
10,"[12.2266,79.0746]"
1701,"[12.2979,76.6393]"
54,"[12.3078,75.1081]"
2,"[12.3312,76.8565]"
4,"[12.4264,75.7431]"
31,"[12.4971,74.9934]"
4,"[12.5162,79.1234]"
35,"[12.5197,78.2108]"
37,"[12.5253,76.8925]"
25,"[12.5575,74.9866]"
136,"[12.5605,75.3866]"
300,"[12.5638,80.1736]"
23,"[12.5828,77.0429]"
6,"[12.649,77.206]"
111,"[12.6522,77.3485]"
2,"[12.6608,79.5466]"
41,"[12.6918,79.9766]"
1,"[12.6994,79.2049]"
